circuitId,imgUrl
1,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Albert_Lake_Park_Street_Circuit_in_Melbourne%2C_Australia.svg/1200px-Albert_Lake_Park_Street_Circuit_in_Melbourne%2C_Australia.svg.png
2,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Sepang.svg/1200px-Sepang.svg.png
3,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Bahrain_International_Circuit--Grand_Prix_Layout.svg/2000px-Bahrain_International_Circuit--Grand_Prix_Layout.svg.png
4,https://upload.wikimedia.org/wikipedia/commons/9/9c/Formula1_Circuit_Catalunya.svg
5,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Istanbul_park.svg/1200px-Istanbul_park.svg.png
6,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Monte_Carlo_Formula_1_track_map.svg/1200px-Monte_Carlo_Formula_1_track_map.svg.png
7,https://upload.wikimedia.org/wikipedia/commons/2/21/Circuit_Gilles_Villeneuve.svg
8,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Circuit_de_Nevers_Magny-Cours.svg/1200px-Circuit_de_Nevers_Magny-Cours.svg.png
9,https://www.formula1.com/content/fom-website/en/racing/2017/Great_Britain/_jcr_content/circuitMap.img.png/1467972674844.png
10,https://www.racedepartment.com/attachments/1531751686741-png.260692/
11,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Hungaroring.svg/1200px-Hungaroring.svg.png
12,https://www.newsonf1.com/images/valencia_mapr.jpg
13,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Spa-Francorchamps_of_Belgium.svg/1200px-Spa-Francorchamps_of_Belgium.svg.png
14,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Monza_track_map.svg/1200px-Monza_track_map.svg.png
15,https://www.formula1.com/content/dam/fom-website/manual/races/Singapore/singapore_track.png.transform/9col/image.png
16,
17,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Shanghai_International_Racing_Circuit_track_map.svg/1200px-Shanghai_International_Racing_Circuit_track_map.svg.png
18,https://upload.wikimedia.org/wikipedia/commons/c/cf/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace_%28AKA_Interlagos%29_track_map.svg
19,
20,https://www.racingcircuits.info/assets/components/phpthumbof/cache/Nurburgring-GP%2BF1Chicane%2BArena-03.117012ce87465035c03f2c56809b1b58.png
21,
22,https://thef1formbook.files.wordpress.com/2016/10/japanese-gp-circuit-map.jpg?w=1008&h=1124
23,https://www.racefans.net/wp-content/uploads/2019/06/red-bull-ring-2019.jpg
24,https://www.racingcircuits.info/assets/components/phpthumbof/cache/YasMarinaGP.8c56ed6e222fb4fe1a11b87ba39dd380.png
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,https://www.formula1.com/content/fom-website/en/racing/2017/Azerbaijan/_jcr_content/circuitMap.img.png/1498226113913.png